Fecha,Ventas (€),Inversión Marketing (€),Región
2022-04-25,162000,8100,Sur
2022-04-26,140000,7000,Este
2022-04-27,150000,7700,Norte
2022-04-28,158000,7900,Centro
2022-04-29,165000,8200,Sur
2022-04-30,145000,7200,Este
2022-05-01,153000,7600,Norte
2022-05-02,160000,8000,Centro
2022-05-03,168000,8300,Sur
2022-05-04,142000,7100,Este
2022-05-05,157000,7800,Norte
2022-05-06,152000,7600,Centro
2022-05-07,163000,8100,Sur
2022-05-08,147000,7300,Este
2022-05-09,159000,7900,Norte
2022-05-10,161000,8000,Centro
2022-05-11,166000,8200,Sur
2022-05-12,143000,7100,Este
2022-05-13,156000,7800,Norte
2022-05-14,149000,7500,Centro
2022-05-15,164000,8100,Sur
2022-05-16,141000,7000,Este
2022-05-17,154000,7700,Norte
2022-05-18,158000,7900,Centro
2022-05-19,167000,8300,Sur
2022-05-20,146000,7200,Este
2022-05-21,151000,7600,Norte
2022-05-22,155000,7800,Centro
2022-05-23,162000,8100,Sur
2022-05-24,140000,7000,Este
2022-05-25,150000,7700,Norte
2022-05-26,158000,7900,Centro
2022-05-27,165000,8200,Sur
2022-05-28,145000,7200,Este
2022-05-29,153000,7600,Norte
2022-05-30,160000,8000,Centro
2022-05-31,168000,8300,Sur
2022-06-01,142000,7100,Este
2022-06-02,157000,7800,Norte
2022-06-03,152000,7600,Centro
2022-06-04,163000,8100,Sur
2022-06-05,147000,7300,Este
2022-06-06,159000,7900,Norte
2022-06-07,161000,8000,Centro
2022-06-08,166000,8200,Sur
2022-06-09,143000,7100,Este
2022-06-10,156000,7800,Norte
2022-06-11,149000,7500,Centro
2022-06-12,164000,8100,Sur
2022-06-13,141000,7000,Este
2022-06-14,154000,7700,Norte
2022-06-15,158000,7900,Centro
2022-06-16,167000,8300,Sur
2022-06-17,146000,7200,Este
2022-06-18,151000,7600,Norte
2022-06-19,155000,7800,Centro
2022-06-20,162000,8100,Sur
2022-06-21,140000,7000,Este
2022-06-22,150000,7700,Norte
2022-06-23,158000,7900,Centro
2022-06-24,165000,8200,Sur
2022-06-25,145000,7200,Este
2022-06-26,153000,7600,Norte
2022-06-27,160000,8000,Centro
2022-06-28,168000,8300,Sur
2022-06-29,142000,7100,Este
2022-06-30,157000,7800,Norte
2022-07-01,152000,7600,Centro
2022-07-02,163000,8100,Sur
2022-07-03,147000,7300,Este
2022-07-04,159000,7900,Norte
2022-07-05,161000,8000,Centro
2022-07-06,166000,8200,Sur
2022-07-07,143000,7100,Este
2022-07-08,156000,7800,Norte
2022-07-09,149000,7500,Centro
2022-07-10,164000,8100,Sur
2022-07-11,141000,7000,Este
2022-07-12,154000,7700,Norte
2022-07-13,158000,7900,Centro
2022-07-14,167000,8300,Sur
2022-07-15,146000,7200,Este
2022-07-16,151000,7600,Norte
2022-07-17,155000,7800,Centro
2022-07-18,162000,8100,Sur
2022-07-19,140000,7000,Este
2022-07-20,150000,7700,Norte
2022-07-21,158000,7900,Centro
2022-07-22,165000,8200,Sur
2022-07-23,145000,7200,Este
2022-07-24,153000,7600,Norte
2022-07-25,160000,8000,Centro
2022-07-26,168000,8300,Sur
2022-07-27,142000,7100,Este
2022-07-28,157000,7800,Norte
2022-07-29,152000,7600,Centro
2022-07-30,163000,8100,Sur
2022-07-31,147000,7300,Este
2022-08-01,159000,7900,Norte
2022-08-02,161000,8000,Centro
2022-08-03,166000,8200,Sur
2022-08-04,143000,7100,Este
2022-08-05,156000,7800,Norte
2022-08-06,149000,7500,Centro
2022-08-07,164000,8100,Sur
2022-08-08,141000,7000,Este
2022-08-09,154000,7700,Norte
2022-08-10,158000,7900,Centro
2022-08-11,167000,8300,Sur
2022-08-12,146000,7200,Este
2022-08-13,151000,7600,Norte
2022-08-14,155000,7800,Centro
2022-08-15,162000,8100,Sur
2022-08-16,140000,7000,Este
2022-08-17,150000,7700,Norte
2022-08-18,158000,7900,Centro
2022-08-19,165000,8200,Sur
2022-08-20,145000,7200,Este
2022-08-21,153000,7600,Norte
2022-08-22,160000,8000,Centro
2022-08-23,168000,8300,Sur
2022-08-24,142000,7100,Este
2022-08-25,157000,7800,Norte
2022-08-26,152000,7600,Centro
2022-08-27,163000,8100,Sur
2022-08-28,147000,7300,Este
2022-08-29,159000,7900,Norte
2022-08-30,161000,8000,Centro
2022-08-31,166000,8200,Sur
2022-09-01,143000,7100,Este
2022-09-02,156000,7800,Norte
2022-09-03,149000,7500,Centro
2022-09-04,164000,8100,Sur
2022-09-05,141000,7000,Este
2022-09-06,154000,7700,Norte
2022-09-07,158000,7900,Centro
2022-09-08,167000,8300,Sur
2022-09-09,146000,7200,Este
2022-09-10,151000,7600,Norte
2022-09-11,155000,7800,Centro
2022-09-12,162000,8100,Sur
2022-09-13,140000,7000,Este
2022-09-14,150000,7700,Norte
2022-09-15,158000,7900,Centro
2022-09-16,165000,8200,Sur
2022-09-17,145000,7200,Este
2022-09-18,153000,7600,Norte
2022-09-19,160000,8000,Centro
2022-09-20,168000,8300,Sur
2022-09-21,142000,7100,Este
2022-09-22,157000,7800,Norte
2022-09-23,152000,7600,Centro
2022-09-24,163000,8100,Sur
2022-09-25,147000,7300,Este
2022-09-26,159000,7900,Norte
2022-09-27,161000,8000,Centro
2022-09-28,166000,8200,Sur
2022-09-29,143000,7100,Este
2022-09-30,156000,7800,Norte
2022-10-01,149000,7500,Centro
2022-10-02,164000,8100,Sur
2022-10-03,141000,7000,Este
2022-10-04,154000,7700,Norte
2022-10-05,158000,7900,Centro
2022-10-06,167000,8300,Sur
2022-10-07,146000,7200,Este
2022-10-08,151000,7600,Norte
2022-10-09,155000,7800,Centro
2022-10-10,162000,8100,Sur
2022-10-11,140000,7000,Este
2022-10-12,150000,7700,Norte
2022-10-13,158000,7900,Centro
2022-10-14,165000,8200,Sur
2022-10-15,145000,7200,Este
2022-10-16,153000,7600,Norte
2022-10-17,160000,8000,Centro
2022-10-18,168000,8300,Sur
2022-10-19,142000,7100,Este
2022-10-20,157000,7800,Norte
2022-10-21,152000,7600,Centro
2022-10-22,163000,8100,Sur
2022-10-23,147000,7300,Este
2022-10-24,159000,7900,Norte
2022-10-25,161000,8000,Centro
2022-10-26,166000,8200,Sur
2022-10-27,143000,7100,Este
2022-10-28,156000,7800,Norte
2022-10-29,149000,7500,Centro
2022-10-30,164000,8100,Sur
2022-10-31,141000,7000,Este
2022-11-01,154000,7700,Norte
2022-11-02,158000,7900,Centro
2022-11-03,167000,8300,Sur
2022-11-04,146000,7200,Este
2022-11-05,151000,7600,Norte
2022-11-06,155000,7800,Centro
2022-11-07,162000,8100,Sur
2022-11-08,140000,7000,Este
2022-11-09,150000,7700,Norte
2022-11-10,158000,7900,Centro
2022-11-11,165000,8200,Sur
2022-11-12,145000,7200,Este
2022-11-13,153000,7600,Norte
2022-11-14,160000,8000,Centro
2022-11-15,168000,8300,Sur
2022-11-16,142000,7100,Este
2022-11-17,157000,7800,Norte
2022-11-18,152000,7600,Centro
2022-11-19,163000,8100,Sur
2022-11-20,147000,7300,Este
2022-11-21,159000,7900,Norte
2022-11-22,161000,8000,Centro
2022-11-23,166000,8200,Sur
2022-11-24,143000,7100,Este
2022-11-25,156000,7800,Norte
2022-11-26,149000,7500,Centro
2022-11-27,164000,8100,Sur
2022-11-28,141000,7000,Este
2022-11-29,154000,7700,Norte
2022-11-30,158000,7900,Centro
2022-12-01,167000,8300,Sur
2022-12-02,146000,7200,Este
2022-12-03,151000,7600,Norte
2022-12-04,155000,7800,Centro
2022-12-05,162000,8100,Sur
2022-12-06,140000,7000,Este
2022-12-07,150000,7700,Norte
2022-12-08,158000,7900,Centro
2022-12-09,165000,8200,Sur
2022-12-10,145000,7200,Este
2022-12-11,153000,7600,Norte
2022-12-12,160000,8000,Centro
2022-12-13,168000,8300,Sur
2022-12-14,142000,7100,Este
2022-12-15,157000,7800,Norte
2022-12-16,152000,7600,Centro
2022-12-17,163000,8100,Sur
2022-12-18,147000,7300,Este
2022-12-19,159000,7900,Norte
2022-12-20,161000,8000,Centro
2022-12-21,166000,8200,Sur
2022-12-22,143000,7100,Este
2022-12-23,156000,7800,Norte
2022-12-24,149000,7500,Centro
2022-12-25,164000,8100,Sur
2022-12-26,141000,7000,Este
2022-12-27,154000,7700,Norte
2022-12-28,158000,7900,Centro
2022-12-29,167000,8300,Sur
2022-12-30,146000,7200,Este
2022-12-31,151000,7600,Norte
2023-01-01,155000,7800,Centro
2023-01-02,162000,8100,Sur
2023-01-03,140000,7000,Este
2023-01-04,150000,7700,Norte
2023-01-05,158000,7900,Centro
2023-01-06,165000,8200,Sur
2023-01-07,145000,7200,Este
2023-01-08,153000,7600,Norte
2023-01-09,160000,8000,Centro
2023-01-10,168000,8300,Sur
2023-01-11,142000,7100,Este
2023-01-12,157000,7800,Norte
2023-01-13,152000,7600,Centro
2023-01-14,163000,8100,Sur
2023-01-15,147000,7300,Este
2023-01-16,159000,7900,Norte
2023-01-17,161000,8000,Centro
2023-01-18,166000,8200,Sur
2023-01-19,143000,7100,Este
2023-01-20,156000,7800,Norte
2023-01-21,149000,7500,Centro
2023-01-22,164000,8100,Sur
2023-01-23,141000,7000,Este
2023-01-24,154000,7700,Norte
2023-01-25,158000,7900,Centro
2023-01-26,167000,8300,Sur
2023-01-27,146000,7200,Este
2023-01-28,151000,7600,Norte
2023-01-29,155000,7800,Centro
2023-01-30,162000,8100,Sur
2023-01-31,140000,7000,Este
2023-02-01,150000,7700,Norte
2023-02-02,158000,7900,Centro
2023-02-03,165000,8200,Sur
2023-02-04,145000,7200,Este
2023-02-05,153000,7600,Norte
2023-02-06,160000,8000,Centro
2023-02-07,168000,8300,Sur
2023-02-08,142000,7100,Este
2023-02-09,157000,7800,Norte
2023-02-10,152000,7600,Centro
2023-02-11,163000,8100,Sur
2023-02-12,147000,7300,Este
2023-02-13,159000,7900,Norte
2023-02-14,161000,8000,Centro
2023-02-15,166000,8200,Sur
2023-02-16,143000,7100,Este
2023-02-17,156000,7800,Norte
2023-02-18,149000,7500,Centro
2023-02-19,164000,8100,Sur
2023-02-20,141000,7000,Este
2023-02-21,154000,7700,Norte
2023-02-22,158000,7900,Centro
2023-02-23,167000,8300,Sur
2023-02-24,146000,7200,Este
2023-02-25,151000,7600,Norte
2023-02-26,155000,7800,Centro
2023-02-27,162000,8100,Sur
2023-02-28,140000,7000,Este
2023-03-01,150000,7700,Norte
2023-03-02,158000,7900,Centro
2023-03-03,165000,8200,Sur
2023-03-04,145000,7200,Este
2023-03-05,153000,7600,Norte
2023-03-06,160000,8000,Centro
2023-03-07,168000,8300,Sur
2023-03-08,142000,7100,Este
2023-03-09,157000,7800,Norte
2023-03-10,152000,7600,Centro
2023-03-11,163000,8100,Sur
2023-03-12,147000,7300,Este
2023-03-13,159000,7900,Norte
2023-03-14,161000,8000,Centro
2023-03-15,166000,8200,Sur
2023-03-16,143000,7100,Este
2023-03-17,156000,7800,Norte
2023-03-18,149000,7500,Centro
2023-03-19,164000,8100,Sur
2023-03-20,141000,7000,Este
2023-03-21,154000,7700,Norte
2023-03-22,158000,7900,Centro
2023-03-23,167000,8300,Sur
2023-03-24,146000,7200,Este
2023-03-25,151000,7600,Norte
2023-03-26,155000,7800,Centro
2023-03-27,162000,8100,Sur
2023-03-28,140000,7000,Este
2023-03-29,150000,7700,Norte
2023-03-30,158000,7900,Centro
2023-03-31,165000,8200,Sur
2023-04-01,145000,7200,Este
2023-04-02,153000,7600,Norte
2023-04-03,160000,8000,Centro
2023-04-04,168000,8300,Sur
2023-04-05,142000,7100,Este
2023-04-06,157000,7800,Norte
2023-04-07,152000,7600,Centro
2023-04-08,163000,8100,Sur
2023-04-09,147000,7300,Este
2023-04-10,159000,7900,Norte
2023-04-11,161000,8000,Centro
2023-04-12,166000,8200,Sur
2023-04-13,143000,7100,Este
2023-04-14,156000,7800,Norte
2023-04-15,149000,7500,Centro
2023-04-16,164000,8100,Sur
2023-04-17,141000,7000,Este
2023-04-18,154000,7700,Norte
2023-04-19,158000,7900,Centro
2023-04-20,167000,8300,Sur
2023-04-21,146000,7200,Este
2023-04-22,151000,7600,Norte
2023-04-23,155000,7800,Centro
2023-04-24,162000,8100,Sur
2023-04-25,140000,7000,Este
2023-04-26,150000,7700,Norte
2023-04-27,158000,7900,Centro
2023-04-28,165000,8200,Sur
2023-04-29,145000,7200,Este
2023-04-30,153000,7600,Norte
2023-05-01,160000,8000,Centro
2023-05-02,168000,8300,Sur
2023-05-03,142000,7100,Este
2023-05-04,157000,7800,Norte
2023-05-05,152000,7600,Centro
2023-05-06,163000,8100,Sur
2023-05-07,147000,7300,Este
2023-05-08,159000,7900,Norte
2023-05-09,161000,8000,Centro
2023-05-10,166000,8200,Sur
2023-05-11,143000,7100,Este
2023-05-12,156000,7800,Norte
2023-05-13,149000,7500,Centro
2023-05-14,164000,8100,Sur
2023-05-15,141000,7000,Este
2023-05-16,154000,7700,Norte
2023-05-17,158000,7900,Centro
2023-05-18,167000,8300,Sur
2023-05-19,146000,7200,Este
2023-05-20,151000,7600,Norte
2023-05-21,155000,7800,Centro
2023-05-22,162000,8100,Sur
2023-05-23,140000,7000,Este
2023-05-24,150000,7700,Norte
2023-05-25,158000,7900,Centro
2023-05-26,165000,8200,Sur
2023-05-27,145000,7200,Este
2023-05-28,153000,7600,Norte
2023-05-29,160000,8000,Centro
2023-05-30,168000,8300,Sur
2023-05-31,142000,7100,Este
2023-06-01,157000,7800,Norte
2023-06-02,152000,7600,Centro
2023-06-03,163000,8100,Sur
2023-06-04,147000,7300,Este
2023-06-05,159000,7900,Norte
2023-06-06,161000,8000,Centro
2023-06-07,166000,8200,Sur
2023-06-08,143000,7100,Este
2023-06-09,156000,7800,Norte
2023-06-10,149000,7500,Centro
2023-06-11,164000,8100,Sur
2023-06-12,141000,7000,Este
2023-06-13,154000,7700,Norte
2023-06-14,158000,7900,Centro
2023-06-15,167000,8300,Sur
2023-06-16,146000,7200,Este
2023-06-17,151000,7600,Norte
2023-06-18,155000,7800,Centro
2023-06-19,162000,8100,Sur
2023-06-20,140000,7000,Este
2023-06-21,150000,7700,Norte
2023-06-22,158000,7900,Centro
2023-06-23,165000,8200,Sur
2023-06-24,145000,7200,Este
2023-06-25,153000,7600,Norte
2023-06-26,160000,8000,Centro
2023-06-27,168000,8300,Sur
2023-06-28,142000,7100,Este
2023-06-29,157000,7800,Norte
2023-06-30,152000,7600,Centro
2023-07-01,163000,8100,Sur
2023-07-02,147000,7300,Este
2023-07-03,159000,7900,Norte
2023-07-04,161000,8000,Centro
2023-07-05,166000,8200,Sur
2023-07-06,143000,7100,Este
2023-07-07,156000,7800,Norte
2023-07-08,149000,7500,Centro
2023-07-09,164000,8100,Sur
2023-07-10,141000,7000,Este
2023-07-11,154000,7700,Norte
2023-07-12,158000,7900,Centro
2023-07-13,167000,8300,Sur
2023-07-14,146000,7200,Este
2023-07-15,151000,7600,Norte
2023-07-16,155000,7800,Centro
2023-07-17,162000,8100,Sur
2023-07-18,140000,7000,Este
2023-07-19,150000,7700,Norte
2023-07-20,158000,7900,Centro
2023-07-21,165000,8200,Sur
2023-07-22,145000,7200,Este
2023-07-23,153000,7600,Norte
2023-07-24,160000,8000,Centro
2023-07-25,168000,8300,Sur
2023-07-26,142000,7100,Este
2023-07-27,157000,7800,Norte
2023-07-28,152000,7600,Centro
2023-07-29,163000,8100,Sur
2023-07-30,147000,7300,Este
2023-07-31,159000,7900,Norte
2023-08-01,161000,8000,Centro
2023-08-02,166000,8200,Sur
2023-08-03,143000,7100,Este
2023-08-04,156000,7800,Norte
2023-08-05,149000,7500,Centro
2023-08-06,164000,8100,Sur
2023-08-07,141000,7000,Este
2023-08-08,154000,7700,Norte
2023-08-09,158000,7900,Centro
2023-08-10,167000,8300,Sur
2023-08-11,146000,7200,Este
2023-08-12,151000,7600,Norte
2023-08-13,155000,7800,Centro
2023-08-14,162000,8100,Sur
2023-08-15,140000,7000,Este
2023-08-16,150000,7700,Norte
2023-08-17,158000,7900,Centro
2023-08-18,165000,8200,Sur
2023-08-19,145000,7200,Este
2023-08-20,153000,7600,Norte
2023-08-21,160000,8000,Centro
2023-08-22,168000,8300,Sur
2023-08-23,142000,7100,Este
2023-08-24,157000,7800,Norte
2023-08-25,152000,7600,Centro
2023-08-26,163000,8100,Sur
2023-08-27,147000,7300,Este
2023-08-28,159000,7900,Norte
2023-08-29,161000,8000,Centro
2023-08-30,166000,8200,Sur
2023-08-31,143000,7100,Este
2023-09-01,156000,7800,Norte
2023-09-02,149000,7500,Centro
2023-09-03,164000,8100,Sur
2023-09-04,141000,7000,Este
2023-09-05,154000,7700,Norte
2023-09-06,158000,7900,Centro
2023-09-07,167000,8300,Sur
2023-09-08,146000,7200,Este
2023-09-09,151000,7600,Norte
2023-09-10,155000,7800,Centro
2023-09-11,162000,8100,Sur
2023-09-12,140000,7000,Este
2023-09-13,150000,7700,Norte
2023-09-14,158000,7900,Centro
2023-09-15,165000,8200,Sur
2023-09-16,145000,7200,Este
2023-09-17,153000,7600,Norte
2023-09-18,160000,8000,Centro
2023-09-19,168000,8300,Sur
2023-09-20,142000,7100,Este
2023-09-21,157000,7800,Norte
2023-09-22,152000,7600,Centro
2023-09-23,163000,8100,Sur
2023-09-24,147000,7300,Este
2023-09-25,159000,7900,Norte
2023-09-26,161000,8000,Centro
2023-09-27,166000,8200,Sur
2023-09-28,143000,7100,Este
2023-09-29,156000,7800,Norte
2023-09-30,149000,7500,Centro
2023-10-01,164000,8100,Sur
2023-10-02,141000,7000,Este
2023-10-03,154000,7700,Norte
2023-10-04,158000,7900,Centro
2023-10-05,167000,8300,Sur
2023-10-06,146000,7200,Este
2023-10-07,151000,7600,Norte
2023-10-08,155000,7800,Centro
2023-10-09,162000,8100,Sur
2023-10-10,140000,7000,Este
2023-10-11,150000,7700,Norte
2023-10-12,158000,7900,Centro
2023-10-13,165000,8200,Sur
2023-10-14,145000,7200,Este
2023-10-15,153000,7600,Norte
2023-10-16,160000,8000,Centro
2023-10-17,168000,8300,Sur
2023-10-18,142000,7100,Este
2023-10-19,157000,7800,Norte
2023-10-20,152000,7600,Centro
2023-10-21,163000,8100,Sur
2023-10-22,147000,7300,Este
2023-10-23,159000,7900,Norte
2023-10-24,161000,8000,Centro
2023-10-25,166000,8200,Sur
2023-10-26,143000,7100,Este
2023-10-27,156000,7800,Norte
2023-10-28,149000,7500,Centro
2023-10-29,164000,8100,Sur
2023-10-30,141000,7000,Este
2023-10-31,154000,7700,Norte
2023-11-01,158000,7900,Centro
2023-11-02,167000,8300,Sur
2023-11-03,146000,7200,Este
2023-11-04,151000,7600,Norte
2023-11-05,155000,7800,Centro
2023-11-06,162000,8100,Sur
2023-11-07,140000,7000,Este
2023-11-08,150000,7700,Norte
2023-11-09,158000,7900,Centro
2023-11-10,165000,8200,Sur
2023-11-11,145000,7200,Este
2023-11-12,153000,7600,Norte
2023-11-13,160000,8000,Centro
2023-11-14,168000,8300,Sur
2023-11-15,142000,7100,Este
2023-11-16,157000,7800,Norte
2023-11-17,152000,7600,Centro
2023-11-18,163000,8100,Sur
2023-11-19,147000,7300,Este
2023-11-20,159000,7900,Norte
2023-11-21,161000,8000,Centro
2023-11-22,166000,8200,Sur
2023-11-23,143000,7100,Este
2023-11-24,156000,7800,Norte
2023-11-25,149000,7500,Centro
2023-11-26,164000,8100,Sur
2023-11-27,141000,7000,Este
2023-11-28,154000,7700,Norte
2023-11-29,158000,7900,Centro
2023-11-30,167000,8300,Sur
2023-12-01,146000,7200,Este
2023-12-02,151000,7600,Norte
2023-12-03,155000,7800,Centro
2023-12-04,162000,8100,Sur
2023-12-05,140000,7000,Este
2023-12-06,150000,7700,Norte
2023-12-07,158000,7900,Centro
2023-12-08,165000,8200,Sur
2023-12-09,145000,7200,Este
2023-12-10,153000,7600,Norte
2023-12-11,160000,8000,Centro
2023-12-12,168000,8300,Sur
2023-12-13,142000,7100,Este
2023-12-14,157000,7800,Norte
2023-12-15,152000,7600,Centro
2023-12-16,163000,8100,Sur
2023-12-17,147000,7300,Este
2023-12-18,159000,7900,Norte
2023-12-19,161000,8000,Centro
2023-12-20,166000,8200,Sur
2023-12-21,143000,7100,Este
2023-12-22,156000,7800,Norte
2023-12-23,149000,7500,Centro
2023-12-24,164000,8100,Sur
2023-12-25,141000,7000,Este
2023-12-26,154000,7700,Norte
2023-12-27,158000,7900,Centro
2023-12-28,167000,8300,Sur
2023-12-29,146000,7200,Este
2023-12-30,151000,7600,Norte
2023-12-31,155000,7800,Centro
2024-01-01,162000,8100,Sur
2024-01-02,140000,7000,Este
2024-01-03,150000,7700,Norte
2024-01-04,158000,7900,Centro
2024-01-05,165000,8200,Sur
2024-01-06,145000,7200,Este
2024-01-07,153000,7600,Norte
2024-01-08,160000,8000,Centro
2024-01-09,168000,8300,Sur
2024-01-10,142000,7100,Este
2024-01-11,157000,7800,Norte
2024-01-12,152000,7600,Centro
2024-01-13,163000,8100,Sur
2024-01-14,147000,7300,Este
2024-01-15,159000,7900,Norte
2024-01-16,161000,8000,Centro
2024-01-17,166000,8200,Sur
2024-01-18,143000,7100,Este
2024-01-19,156000,7800,Norte
2024-01-20,149000,7500,Centro
2024-01-21,164000,8100,Sur
2024-01-22,141000,7000,Este
2024-01-23,154000,7700,Norte
2024-01-24,158000,7900,Centro
2024-01-25,167000,8300,Sur
2024-01-26,146000,7200,Este
2024-01-27,151000,7600,Norte
2024-01-28,155000,7800,Centro
2024-01-29,162000,8100,Sur
2024-01-30,140000,7000,Este
2024-01-31,150000,7700,Norte
2024-02-01,158000,7900,Centro
2024-02-02,165000,8200,Sur
2024-02-03,145000,7200,Este
2024-02-04,153000,7600,Norte
2024-02-05,160000,8000,Centro
2024-02-06,168000,8300,Sur
2024-02-07,142000,7100,Este
2024-02-08,157000,7800,Norte
2024-02-09,152000,7600,Centro
2024-02-10,163000,8100,Sur
2024-02-11,147000,7300,Este
2024-02-12,159000,7900,Norte
2024-02-13,161000,8000,Centro
2024-02-14,166000,8200,Sur
2024-02-15,143000,7100,Este
2024-02-16,156000,7800,Norte
2024-02-17,149000,7500,Centro
2024-02-18,164000,8100,Sur
2024-02-19,141000,7000,Este
2024-02-20,154000,7700,Norte
2024-02-21,158000,7900,Centro
2024-02-22,167000,8300,Sur
2024-02-23,146000,7200,Este
2024-02-24,151000,7600,Norte
2024-02-25,155000,7800,Centro
2024-02-26,162000,8100,Sur
2024-02-27,140000,7000,Este
2024-02-28,150000,7700,Norte
2024-02-29,158000,7900,Centro
2024-03-01,165000,8200,Sur
2024-03-02,145000,7200,Este
2024-03-03,153000,7600,Norte
2024-03-04,160000,8000,Centro
2024-03-05,168000,8300,Sur
2024-03-06,142000,7100,Este
2024-03-07,157000,7800,Norte
2024-03-08,152000,7600,Centro
2024-03-09,163000,8100,Sur
2024-03-10,147000,7300,Este
2024-03-11,159000,7900,Norte
2024-03-12,161000,8000,Centro
2024-03-13,166000,8200,Sur
2024-03-14,143000,7100,Este
2024-03-15,156000,7800,Norte
2024-03-16,149000,7500,Centro
2024-03-17,164000,8100,Sur
2024-03-18,141000,7000,Este
2024-03-19,154000,7700,Norte
2024-03-20,158000,7900,Centro
2024-03-21,167000,8300,Sur
2024-03-22,146000,7200,Este
2024-03-23,151000,7600,Norte
2024-03-24,155000,7800,Centro
2024-03-25,162000,8100,Sur
2024-03-26,140000,7000,Este
2024-03-27,150000,7700,Norte
2024-03-28,158000,7900,Centro
2024-03-29,165000,8200,Sur
2024-03-30,145000,7200,Este
2024-03-31,153000,7600,Norte
2024-04-01,160000,8000,Centro
2024-04-02,168000,8300,Sur
2024-04-03,142000,7100,Este
2024-04-04,157000,7800,Norte
2024-04-05,152000,7600,Centro
2024-04-06,163000,8100,Sur
2024-04-07,147000,7300,Este
2024-04-08,159000,7900,Norte
2024-04-09,161000,8000,Centro
2024-04-10,166000,8200,Sur
2024-04-11,143000,7100,Este
